               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.023804,           0.0065378,           0.0001723,             0.91152,             0.88698,             0.92493,             0.62715,            0.025647,           0.0044189,          6.5314e-05,            0.007294,            0.007294,            0.007294
                  84,            0.023593,           0.0066302,          0.00016602,             0.91224,             0.89007,             0.92669,             0.62805,             0.02563,           0.0044166,          6.5022e-05,            0.007261,            0.007261,            0.007261
                  85,            0.023433,           0.0064769,          0.00016318,             0.91093,             0.89404,             0.92881,             0.62786,            0.025652,           0.0044194,          6.4792e-05,            0.007228,            0.007228,            0.007228
                  86,            0.023445,           0.0065161,          0.00016444,             0.90823,             0.89789,             0.92945,             0.62746,            0.025621,           0.0044209,          6.4544e-05,            0.007195,            0.007195,            0.007195
                  87,            0.023219,            0.006526,          0.00016416,             0.90547,             0.89934,             0.92904,             0.62895,            0.025594,           0.0044208,          6.4163e-05,            0.007162,            0.007162,            0.007162
                  88,            0.023286,           0.0065016,          0.00016097,             0.90593,             0.89868,             0.92848,              0.6285,            0.025573,           0.0044247,          6.4004e-05,            0.007129,            0.007129,            0.007129
                  89,            0.023252,           0.0063994,          0.00016356,             0.90016,                 0.9,             0.92452,             0.62864,            0.025571,           0.0044352,          6.4093e-05,            0.007096,            0.007096,            0.007096
                  90,            0.023224,            0.006385,          0.00016458,             0.90249,             0.90105,             0.92411,              0.6283,            0.025538,           0.0044336,          6.3873e-05,            0.007063,            0.007063,            0.007063
                  91,            0.023321,           0.0064344,          0.00016849,             0.91149,             0.89341,             0.92552,             0.62839,            0.025537,           0.0044338,          6.4233e-05,             0.00703,             0.00703,             0.00703
                  92,            0.023188,           0.0063918,          0.00016082,             0.91526,             0.89413,             0.92533,             0.62804,            0.025525,           0.0044357,          6.3989e-05,            0.006997,            0.006997,            0.006997
                  93,            0.023311,            0.006513,          0.00016583,             0.91512,             0.89247,               0.925,             0.62788,            0.025513,           0.0044395,          6.3953e-05,            0.006964,            0.006964,            0.006964
                  94,             0.02304,           0.0063433,          0.00015928,             0.91493,             0.89404,             0.92602,             0.62793,            0.025501,           0.0044412,          6.3871e-05,            0.006931,            0.006931,            0.006931
