               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.022304,           0.0086512,           0.0001917,              0.9242,             0.86991,             0.92194,             0.67132,            0.027047,           0.0074828,          0.00016336,             0.00736,             0.00736,             0.00736
                  82,            0.022161,           0.0086295,          0.00018426,             0.93167,              0.8693,             0.92301,             0.67341,             0.02712,           0.0074738,          0.00015532,            0.007327,            0.007327,            0.007327
                  83,            0.022063,           0.0086226,          0.00018083,             0.92376,             0.87477,             0.92536,              0.6714,            0.027094,           0.0074543,          0.00015071,            0.007294,            0.007294,            0.007294
                  84,            0.021906,           0.0086238,          0.00017829,             0.92695,             0.87173,             0.92371,             0.67135,            0.027083,           0.0074791,          0.00014497,            0.007261,            0.007261,            0.007261
                  85,              0.0219,           0.0086073,          0.00017869,             0.92665,             0.86785,             0.92147,             0.66922,            0.027126,           0.0074033,          0.00013573,            0.007228,            0.007228,            0.007228
                  86,            0.021739,           0.0084283,          0.00017288,             0.92271,             0.87087,             0.92412,             0.67149,            0.027071,           0.0074306,          0.00013534,            0.007195,            0.007195,            0.007195
                  87,            0.021852,           0.0084449,          0.00017237,             0.92367,             0.87112,             0.92506,             0.67168,            0.027074,           0.0074688,           0.0001441,            0.007162,            0.007162,            0.007162
                  88,            0.021787,           0.0084065,          0.00017966,             0.91392,             0.87776,             0.92513,             0.67154,            0.026944,           0.0075067,          0.00014607,            0.007129,            0.007129,            0.007129
                  89,            0.021745,           0.0084422,          0.00017141,             0.91695,             0.87926,             0.92453,             0.67217,            0.026883,           0.0075201,           0.0001402,            0.007096,            0.007096,            0.007096
                  90,            0.021984,           0.0086677,          0.00017646,             0.91967,             0.87599,             0.92544,             0.67456,            0.026887,           0.0074678,          0.00013814,            0.007063,            0.007063,            0.007063
                  91,             0.02183,           0.0085359,          0.00017751,             0.91721,             0.88221,             0.92511,              0.6736,            0.026907,           0.0074528,          0.00013975,             0.00703,             0.00703,             0.00703
                  92,             0.02162,            0.008516,          0.00017781,             0.92313,               0.876,             0.92661,             0.67359,            0.026986,           0.0074677,          0.00014542,            0.006997,            0.006997,            0.006997
                  93,            0.021297,           0.0082729,          0.00017103,             0.91441,             0.88511,             0.92693,             0.67278,            0.027007,           0.0074352,          0.00014273,            0.006964,            0.006964,            0.006964
                  94,            0.021543,           0.0083528,          0.00017012,             0.92028,             0.87724,             0.92518,             0.67434,            0.026966,            0.007421,          0.00013605,            0.006931,            0.006931,            0.006931
                  95,            0.021547,           0.0084351,          0.00017199,               0.928,             0.86971,             0.92552,             0.67466,            0.026959,           0.0074616,          0.00013788,            0.006898,            0.006898,            0.006898
                  96,            0.021396,           0.0082604,          0.00017233,             0.92065,             0.87538,             0.92391,             0.67589,            0.026919,           0.0074327,          0.00014168,            0.006865,            0.006865,            0.006865
                  97,            0.021317,           0.0083118,          0.00016925,             0.91827,             0.87477,             0.92519,             0.67625,             0.02683,           0.0074558,          0.00014882,            0.006832,            0.006832,            0.006832
                  98,            0.021353,           0.0083619,          0.00016563,             0.91528,             0.87295,             0.92361,             0.67731,            0.026851,           0.0074431,          0.00014556,            0.006799,            0.006799,            0.006799
                  99,            0.021089,           0.0081867,          0.00016698,             0.91844,             0.87173,             0.92462,              0.6753,            0.026918,           0.0074098,           0.0001409,            0.006766,            0.006766,            0.006766
                 100,            0.021351,           0.0081953,          0.00016669,              0.9165,             0.87781,             0.92682,             0.67566,            0.026922,            0.007424,          0.00014021,            0.006733,            0.006733,            0.006733
                 101,            0.021152,           0.0081575,          0.00016576,             0.91657,             0.87486,             0.92475,             0.67282,            0.026882,           0.0074234,          0.00014306,              0.0067,              0.0067,              0.0067
                 102,             0.02109,           0.0081841,          0.00017111,             0.92306,             0.87516,             0.92676,             0.67497,            0.026829,           0.0074363,          0.00014659,            0.006667,            0.006667,            0.006667
                 103,            0.021031,           0.0081511,          0.00017069,             0.91565,             0.88328,             0.92696,             0.67335,            0.026804,           0.0074359,           0.0001531,            0.006634,            0.006634,            0.006634
                 104,            0.021011,            0.008166,          0.00016629,             0.91758,             0.87976,             0.92685,             0.67618,            0.026707,           0.0074153,          0.00015507,            0.006601,            0.006601,            0.006601
                 105,            0.020878,           0.0081331,          0.00016395,             0.91958,             0.87903,             0.92802,             0.67822,            0.026651,           0.0074112,          0.00014894,            0.006568,            0.006568,            0.006568
                 106,            0.020947,           0.0081317,          0.00016418,             0.92169,             0.87964,              0.9297,             0.67881,            0.026613,           0.0074077,          0.00014968,            0.006535,            0.006535,            0.006535
                 107,            0.020869,            0.008086,           0.0001634,             0.91924,             0.88632,             0.93151,             0.68136,            0.026618,           0.0074083,           0.0001499,            0.006502,            0.006502,            0.006502
                 108,            0.021117,           0.0081286,          0.00016639,             0.92299,             0.88024,             0.93096,             0.68304,            0.026596,           0.0073947,           0.0001512,            0.006469,            0.006469,            0.006469
                 109,            0.020806,           0.0081177,          0.00016162,              0.9161,             0.88948,             0.93106,             0.68279,            0.026636,           0.0074073,          0.00015395,            0.006436,            0.006436,            0.006436
                 110,            0.020775,            0.007975,          0.00016188,             0.91607,             0.88632,             0.92972,               0.682,            0.026644,           0.0074075,            0.000154,            0.006403,            0.006403,            0.006403
                 111,            0.020947,           0.0080977,          0.00016316,             0.92354,             0.88146,             0.92948,             0.68278,            0.026665,           0.0074233,          0.00015655,             0.00637,             0.00637,             0.00637
